number,	correct,result,	similarity
0,	1,	1,	0.125141
1,	1,	1,	0.130464
2,	1,	1,	0.791312
3,	1,	1,	1.03546
4,	1,	1,	0.607304
5,	1,	1,	6.69078
6,	1,	1,	4.58641
7,	1,	1,	1.04299
8,	1,	1,	0.533398
9,	1,	1,	0.753144
10,	1,	1,	1.04299
11,	1,	1,	2.64911
12,	1,	1,	0.0495462
13,	1,	1,	0.0733119
14,	1,	1,	3.84192
15,	1,	1,	1.68376
16,	1,	1,	0.363658
17,	1,	1,	1.23099
18,	1,	1,	1.57952
19,	1,	1,	0.894488
20,	2,	2,	0.163326
21,	2,	2,	0.71301
22,	2,	2,	0.858043
23,	2,	2,	1.05918
24,	2,	2,	0.140762
25,	2,	2,	0.554075
26,	2,	2,	0.615029
27,	2,	3,	2.23888
28,	2,	3,	1.29486
29,	2,	2,	0.791708
30,	2,	2,	0.30135
31,	2,	2,	0.472304
32,	2,	2,	0.36977
33,	2,	2,	0.249639
34,	2,	2,	0.442562
35,	2,	2,	2.03193
36,	2,	2,	0.157244
37,	2,	2,	0.649027
38,	2,	2,	0.119787
39,	2,	2,	0.136227
40,	3,	3,	0.653231
41,	3,	3,	0.458689
42,	3,	3,	0.939797
43,	3,	3,	0.64904
44,	3,	3,	0.708449
45,	3,	3,	0.126055
46,	3,	3,	1.05044
47,	3,	3,	1.11482
48,	3,	3,	4.94945
49,	3,	3,	0.213278
50,	3,	2,	0.577144
51,	3,	2,	0.958419
52,	3,	3,	2.08578
53,	3,	3,	1.24193
54,	3,	3,	0.265303
55,	3,	2,	0.914329
56,	3,	3,	0.267447
57,	3,	3,	0.57367
58,	3,	3,	0.609484
59,	3,	3,	1.15762
